Title,Authors,Year,Journal,Journal_type,Type_stimulation,DBS,Electrode_type,Concurrent_fMRI,Brain_area,Brain_Name,Brain_Atlas,Brain_Parc,Brain_ParcLabel,Brain_Parc_Numb,Cortical_Subcortical,Species,Species_cat,Number_animals,Sex,Frequency,Amplitude_lower,Amplitude_higher,Amplitude_unit,Cathode_anode,Pulse_width,Waveform,Timespan,Task_description,Task_category,Behavioural_output,Main_output,Effect,Behavioural_description,Summary,Notes
Reorganization of primary motor cortex in adult macaque monkeys with long-standing amputations,"Qi et al.,",2000,Journal of Neurophysiology,specialty,electrical,NO,Microelectrode,NO,M1,M1,79,M1,79,7,cortical,"Macaca mulatta, Macaca nemestrina",rhesus,6,"male, female",300 Hz,10,80,μA,cathodal,0.2 ms,monophasic,60 ms,no task,no task & resting-state,movement,movement,direct,Threshold current levels for stump movements were comparable to those for normal arm movements,motor,
Structural and functional definition of the motor cortex in the monkey (Macaca fascicularis),"Sessle & Wiesendanger,",1982,Journal of Physiology,specialty,electrical,NO,Microelectrode,NO,M1,M1,79,M1,79,7,cortical,Macaca fascicularis,non_rhesus,3,unclear,300 Hz,0,30,μA,cathodal,0.2 ms,monophasic,36 ms,no task,no task & resting-state,movement,movement,direct,"twitch movements in distal forelimb and face, jaw and tongue muscles. Hind-limb movements as well.",motor,
Spatial Organization of Precentral Cortex in Awake Primates. II. Motor Outputs,"Kwan et al.,",1978,Journal of Neurophysiology,specialty,electrical,NO,Microelectrode,NO,M1,M1,79,M1,79,7,cortical,unclear,unclear,2,unclear,300 Hz,0,30,μA,cathodal,0.2 ms,monophasic,50-250 ms,no task,no task & resting-state,movement,movement,direct,We observed that a cortical zone controlling movements of a more distal joint was partly enclosed by a zone controlling a more proximal joint.,motor,
Forelimb movements evoked by optogenetic stimulation of the macaque motor cortex,"Watanabe et al.,",2020,Nature Communications,broad,optogenetic,NO,Optogenetic,NO,M1,M1,79,M1,79,7,cortical,Macaca fuscata,non_rhesus,5,"male, female",100-333 Hz,51,270,mW/mm2,NA,2 ms,NA,2-50 ms,no task,no task & resting-state,movement,movement,direct,optogenetic stimulation induces motor movements comparable to e-stim,motor,
Characteristics of the ipsilateral movement-related neuron in the motor cortex of the monkey,"Matsunami & Hamada,",1981,Brain Research,specialty,electrical,NO,Microelectrode,NO,M1,M1,79,M1,79,7,cortical,Macaca mulatta,rhesus,2,unclear,100 Hz,7,500,μA,unclear,0.1 ms,unclear,100 ms,"finger, wrist, arm movement tasks","motor, reaching & grasping",movement,movement,direct,"induces motor movement in arms, wrist and fingers",motor,
Edonerpic maleate enhances functional recovery from spinal cord injury with cortical reorganization in non-human primates,"Uramaru et al.,",2025,Brain Communications,specialty,electrical,NO,Microelectrode,NO,M1,M1,79,M1,79,7,cortical,Macaca fuscata,non_rhesus,6,"male, female",333 Hz,0,100,μA,unclear,0.2 ms,unclear,30 ms,reach-and-grasp task,"motor, reaching & grasping",hands,hands,direct,Stimulation used for motor mapping,motor,
Topographical distribution and functional properties of cortically induced rhythmical jaw movements in the monkey (Macaca fascicularis),"Huang et al.,",1989,Journal of Neurophysiology,specialty,electrical,NO,Microelectrode,NO,M1,M1,79,M1,79,7,cortical,Macaca fascicularis,non_rhesus,3,female,20-300 Hz,0,60,μA,unclear,0.2 ms,unclear,3000-4000 ms,no task,no task & resting-state,movement,movement,direct,jaw movement ,motor,
Motor cortical modulation of the macaque red nucleus,"Larsen & Yumiya,",1981,Experimental Brain Research,specialty,electrical,NO,Microelectrode,NO,M1,M1,79,M1,79,7,cortical,Macaca fascicularis,non_rhesus,4,unclear,300 Hz,0,20,μA,unclear,0.2 ms,unclear,40 ms,no task,no task & resting-state,movement,movement,direct,leads to hand twitches,motor,
Effects of altering the parameters of electrical stimulating currents upon motor responses from the precentral gyrus of Macaca mulatta,"Cure & Rasmussen,",1954,Brain: A Journal of Neurology,specialty,electrical,NO,Macroelectrode,NO,M1,M1,79,M1,79,7,cortical,Macaca mulatta,rhesus,15,unclear,2-200 Hz,3,13,V,unclear,0.1-3 ms,unclear,1000-2000 ms,no task,no task & resting-state,movement,movement,direct,motor map of monkeys from stimulating different locations,motor,
An output zone of the monkey primary motor cortex specialized for bilateral hand movement,"Aizawa et al.,",1990,Experimental Brain Research,specialty,electrical,NO,Microelectrode,NO,M1,M1,79,M1,79,7,cortical,Macaca fuscata,non_rhesus,1,unclear,unclear,0,40,μA,unclear,unclear,unclear,unclear,no task,no task & resting-state,movement,movement,direct,subregion in M1 bilateral hand movement,motor,
Features of cortically evoked swallowing in the awake primate (Macaca fascicularis),"Martin et al.,",1999,Journal of Neurophysiology,specialty,electrical,NO,Microelectrode,NO,M1,M1,79,M1,79,7,cortical,Macaca fascicularis,non_rhesus,2,female,"333, 50 Hz",0,60,μA,unclear,0.2 ms,unclear,3000-4000 ms,no task,no task & resting-state,movement,movement,direct,"swallowing evoked from various cortical regions, in deeper regions together with other orofacial responses including rhythmic jaw movements",motor,
Injecting information in the cortical reach-to-grasp network is effective in ventral but not dorsal nodes,"Ruszala & Schieber,",2025,Cell Reports,broad,electrical,NO,Microelectrode,NO,M1,M1,79,M1,79,7,cortical,Macaca mulatta,rhesus,2,male,33-80 Hz,10,60,μA,unclear,unclear,biphasic,10-800 ms,center out task,"motor, reaching & grasping",hands,hands,indirect,Able to use ICMS as instructions for the task!,motor,
Phase-Specific Microstimulation Differentially Modulates Beta Oscillations and Affects Behavior,"Peles et al.,",2020,Cell Reports,broad,electrical,NO,Microelectrode,NO,M1,M1,79,M1,79,7,cortical,Macaca fascicularis,non_rhesus,2,female,10-20 Hz,40,120,μA,cathode first,200 μs,biphasic,400 ms,monkey presses a button,"motor, reaching & grasping",hands,hands,indirect,changes reaction times of the animals,motor,
Comparable patterns of muscle facilitation evoked by individual corticomotoneuronal (CM) cells and by single intracortical microstimuli in primates: evidence for functional groups of CM cells,"Cheney & Fetz,",1985,Journal of Neurophysiology,specialty,electrical,NO,Microelectrode,NO,M1,M1,79,M1,79,7,cortical,Macaca mulatta,rhesus,3,unclear,5-15 Hz,5,10,μA,unclear,0.4 ms,biphasic,continuous,ramp-and-hold wrist movements,"motor, reaching & grasping",hands,hands,indirect,facilitation of motor movement,motor,
Properties of primary motor cortex output to forelimb muscles in rhesus macaques,"Park et al.,",2004,Journal of Neurophysiology,specialty,electrical,NO,Microelectrode,NO,M1,M1,79,M1,79,7,cortical,Macaca mulatta,rhesus,2,male,15 Hz,15,15,μA,cathode first,0.4 ms,biphasic,60 ms,reach and prehension task,"motor, reaching & grasping",hands,hands,indirect,stimulation increases facilitation of muscle movement,motor,
Continuous sensorimotor transformation enhances robustness of neural dynamics to perturbation in macaque motor cortex,"Zheng et al.,",2025,Nature Communications,broad,electrical,NO,Microelectrode,NO,M1,M1,79,M1,79,7,cortical,Macaca mulatta,rhesus,3,male,300 Hz,5,120,μA,cathode first,0.4 ms,biphasic,100 ms,reach-and-grasp task,"motor, reaching & grasping",hands,hands,indirect,"While ICMS prolongs reaction times (RTs) in the static condition, it does not increase RTs in the moving condition, correlating with faster recovery of neural population activity post-perturbation.",motor,
Cortical Stimulation Paired With Volitional Unimanual Movement Affects Interhemispheric Communication,"Yun et al.,",2021,Frontiers in Neuroscience,specialty,electrical,NO,Macroelectrode,NO,M1,M1,79,M1,79,7,cortical,Macaca nemestrina,non_rhesus,3,male,333 Hz,unclear,unclear,unclear,cathode first,0.4 ms,biphasic,30 ms,wrist movement task,"motor, reaching & grasping",hands,hands,indirect,"Stimulation delivered before contralateral limb movement onset shortened the contralateral limb RT. In contrast, stimulation delivered after the end of contralateral movement increased contralateral RT but decreased ipsilateral RT",motor,
Brain state-dependence of electrically evoked potentials monitored with head-mounted electronics,"Richardson & Fetz,",2012,Journal of Neuroscience,specialty,electrical,NO,Macroelectrode,NO,M1,M1,79,M1,79,7,cortical,Macaca nemestrina,non_rhesus,2,male,single pulses,0.75,1,mA,unclear,0.4 ms,biphasic,single pulses,free moving,no task & resting-state,not reported,neural,indirect,"no clear effects on behaviour, connectivity study",NA,
Partial tuning of motor cortex neurons to final posture in a free-moving paradigm,"Aflalo & Graziano,",2016,PNAS,broad,electrical,NO,Microelectrode,NO,M1,M1,79,M1,79,7,cortical,Macaca fascicularis,non_rhesus,2,male,200 Hz,25,100,μA,cathode first,0.4 ms,biphasic,500 ms,free moving,no task & resting-state,movement,movement,indirect,postures preferred by the neurons significantly matched the postures evoked by electrical stimulation of the same cortical sites,motor,
Propagating Motor Cortical Dynamics Facilitate Movement Initiation,"Balasubramanian et al.,",2020,Neuron,specialty,electrical,NO,Microelectrode,NO,M1,M1,79,M1,79,7,cortical,Macaca mulatta,rhesus,3,male,330 Hz,10,70,μA,cathode first,0.4 ms,biphasic,76 ms,no task,no task & resting-state,movement,movement,indirect,"By applying propagating patterns of subthreshold intracortical microstimulation (ICMS) prior to movement onset, we significantly delayed reaction time when ICMS patterns were incongruent with the natural propagating patterns. Also for mapping somatoptic map",motor,
Mapping Horizontal Spread of Activity in Monkey Motor Cortex Using Single Pulse Microstimulation,"Hao et al.,",2016,Frontiers in Neural Circuits,specialty,electrical,NO,Microelectrode,NO,M1,M1,79,M1,79,7,cortical,Macaca mulatta,rhesus,2,"male, female",10 Hz,10,80,μA,cathode first,0.4 ms,biphasic,5 min,no task,no task & resting-state,neural,neural,indirect,no behaviour reported,NA,
Anatomo-functional organization of the ventral primary motor and premotor cortex in the macaque monkey,"Maranesi et al.,",2012,European Journal of Neuroscience,specialty,electrical,NO,Microelectrode,NO,F1,M1,79,M1,79,7,cortical,Macaca nemestrina,non_rhesus,2,"male, female",330 Hz,3,40,μA,cathodal,0.2 ms,monophasic,50 ms,no task,no task & resting-state,movement,movement,indirect,appears to be involved in organizing and controlling goal-directed mouth motor acts and simple movements within different parts of the external and internal world,motor,
Spatial organization of precentral cortex in awake primates. III. Input-output coupling,"Murphy et al.,",1978,Journal of Neurophysiology,specialty,electrical,NO,Microelectrode,NO,M1,M1,79,M1,79,7,cortical,Macaca arctoides,non_rhesus,2,unclear,300 Hz,2,30,μA,cathodal,0.2 ms,monophasic,50-250 ms,no task,no task & resting-state,movement,movement,indirect,"ICMS of cortical sites induced movement either toward or away from the cutaneous receptive field of that site, with about equal frequency.",motor,
Microstimulation of dorsal premotor and primary motor cortex delays the volitional commitment to an action choice,"Thura & Cisek,",2020,Journal of Neurophysiology,specialty,electrical,NO,Microelectrode,NO,M1,M1,79,M1,79,7,cortical,Macaca mulatta,rhesus,2,male,333 Hz,30,80,μA,anodal,0.2 ms,monophasic,57 ms,visual detection task (2AFC),visual perception & discrimination,hands,hands,indirect,delays deliberation decision,decision,
Excitatory/Inhibitory Responses Shape Coherent Neuronal Dynamics Driven by Optogenetic Stimulation in the Primate Brain,"Schewcraft et al.,",2020,Journal of Neuroscience,specialty,optogenetic,NO,Optogenetic,NO,M1,M1,79,M1,79,7,cortical,"Macaca mulatta, Macaca fascicularis",rhesus,3,male,5-20 Hz,510,653,mW/mm2,NA,5-20 ms,NA,1000 ms,no task,no task & resting-state,neural,neural,indirect,no behaviour tested,NA,
A Large-Scale Interface for Optogenetic Stimulation and Recording in Nonhuman Primates,"Yazdan-Shahmorad et al.,",2016,Neuron,specialty,optogenetic,NO,Optogenetic,NO,M1,M1,79,M1,79,7,cortical,Macaca mulatta,rhesus,2,male,"3, 10, 25, 50 Hz",20,22,mW,NA,1 ms,NA,1000 ms,no task,no task & resting-state,neural,neural,indirect,no behavioural effects of stimulation,NA,
Effects of Optogenetic Activation of Corticothalamic Terminals in the Motor Thalamus of Awake Monkeys,"Galvan et al.,",2016,Journal of Neuroscience,specialty,optogenetic,NO,Optogenetic,NO,M1,M1,79,M1,79,7,cortical,Macaca mulatta,rhesus,2,male,10 Hz,60,820,mW/mm2,NA,20 ms,NA,1000 ms,no task,no task & resting-state,neural,neural,indirect,no behavioural effects of stimulation,motor,I think milli should be micro here
Targeted cortical reorganization using optogenetics in non-human primates,"Yazdan-Shahmorad et al.,",2018,eLife,broad,optogenetic,NO,Optogenetic,NO,M1,M1,79,M1,79,7,cortical,Macaca mulatta,rhesus,2,male,5 Hz,unclear,unclear,unclear,NA,5 ms,NA,10 min,no task,no task & resting-state,neural,neural,indirect,no reported behavioural effects,motor,
Phase reorganization leads to transient Î²-LFP spatial wave patterns in motor cortex during steady-state movement preparation,"Rule et al.,",2018,Journal of Neurophysiology,specialty,optogenetic,NO,Optogenetic,NO,M1,M1,79,M1,79,7,cortical,Macaca mulatta,rhesus,3,male,continuous,6,6,mW,NA,continuous,NA,1000 ms,"No task, stimulation during rest state",no task & resting-state,neural,neural,indirect,"No task, stimulation during resting state, looking at LFP",NA,
Cortical Effects on Ipsilateral Hindlimb Muscles Revealed with Stimulus-Triggered Averaging of EMG Activity,"Messamore et al.,",2016,Cerebral Cortex,specialty,electrical,NO,Microelectrode,NO,M1,M1,79,M1,79,7,cortical,Macaca mulatta,rhesus,2,male,"5, 330 Hz",30,120,μA,unclear,unclear,unclear,20 ms,hindlimb push pull,"motor, reaching & grasping",movement,movement,indirect,facilitation of ipsilateral movement,motor,
An investigation of the intrinsic circuitry of the motor cortex of the monkey using intra-cortical microstimulation,"Baker et al.,",1998,Experimental Brain Research,specialty,electrical,NO,Microelectrode,NO,M1,M1,79,M1,79,7,cortical,Macaca nemestrina,non_rhesus,2,female,300 Hz,0,20,μA,unclear,0.2 ms,unclear,43 ms,precision grip task,"motor, reaching & grasping",hands,hands,indirect,facilitation of forelimb movement,motor,
Error Signals in Motor Cortices Drive Adaptation in Reaching,"Inoue et al.,",2016,Neuron,specialty,electrical,NO,Microelectrode,NO,M1,M1,79,M1,79,7,cortical,Macaca fuscata,non_rhesus,2,male,333 Hz,0,50,μA,unclear,0.2 ms,unclear,33 ms,reaching task,"motor, reaching & grasping",hands,hands,indirect,Post-movement stimulation causes trial-by-trial increases in errors,motor learning,
Projection on the motor cortex of thalamic neurons with pallidal input in the monkey,"Nambu et al.,",1988,Experimental Brain Research,specialty,electrical,NO,Macroelectrode,NO,M1,M1,79,M1,79,7,cortical,Macaca fuscata,non_rhesus,2,female,single pulses,0,0.5,mA,unclear,0.3 ms,unclear,single pulses,no task,no task & resting-state,neural,neural,indirect,"no behaviour reported, used for anti/orthodromic stimulation",NA,
Cortical Control of Subthalamic Neuronal Activity through the Hyperdirect and Indirect Pathways in Monkeys,"Polyakova et al.,",2020,Journal of Neuroscience,specialty,electrical,NO,Macroelectrode,NO,M1,M1,79,M1,79,7,cortical,Macaca fuscata,non_rhesus,2,male,single pulses,0.1,1,mA,unclear,0.3 ms,unclear,single pulses,no task,no task & resting-state,neural,neural,indirect,"no behaviour, antidromic activation to STN",NA,
"The distribution of neurons in the substantia nigra pars reticulata with input from the motor, premotor and prefrontal areas of the cerebral cortex in monkeys","Kitano et al.,",1998,Brain Research,specialty,electrical,NO,Macroelectrode,NO,M1,M1,79,M1,79,7,cortical,Macaca fuscata,non_rhesus,2,male,0.8-1 Hz,0.5,0.5,mA,unclear,0.3 ms,unclear,continuous,no task,no task & resting-state,neural,neural,indirect,"no behavioural effects, antidromic effects on SNc population tested",NA,
Paired Stimulation for Spike-Timing-Dependent Plasticity in Primate Sensorimotor Cortex,"Seeman et al.,",2017,Journal of Neuroscience,specialty,electrical,NO,Microelectrode,NO,M1,M1,79,M1,79,7,cortical,Macaca nemestrina,non_rhesus,2,male,330 Hz,0,2.25,mA,cathode first,1.5 ms,biphasic,9 ms,wrist movement task,"motor, reaching & grasping",hands,hands,no,no effects on behaviour reported,NA,
Responses of Cortical Neurons to Intracortical Microstimulation in Awake Primates,"Yun et al.,",2023,eNeuro,specialty,electrical,NO,Microelectrode,NO,M1,M1,79,M1,79,7,cortical,Macaca nemestrina,non_rhesus,3,male,1-20 Hz,2,50,μA,cathode first,0.4 ms,biphasic,5-20 min,no task,no task & resting-state,neural,neural,no,no behavioural effects reported,motor,
Excitatory cortical inputs to pallidal neurons via the subthalamic nucleus in the monkey,"Nambu et al.,",2000,Journal of Neurophysiology,specialty,electrical,NO,Microelectrode,NO,M1,M1,79,M1,79,7,cortical,Macaca fuscata,non_rhesus,2,female,0.4-0.8 Hz,0.3,0.7,mA,cathodal,0.3 ms,monophasic,continuous,no task,no task & resting-state,movement,movement,no,"no behaviour, M1 effects on GP and STN electrophysiology",NA,
Optogenetically induced spatiotemporal gamma oscillations and neuronal spiking activity in primate motor cortex,"Lu et al.,",2015,Journal of Neurophysiology,specialty,optogenetic,NO,Optogenetic,NO,M1,M1,79,M1,79,7,cortical,Macaca mulatta,rhesus,2,unclear,continuous,1,20,mW/mm2,NA,continuous,NA,2500 ms,reach-and-grasp task,"motor, reaching & grasping",hands,hands,no,no clear effects on behaviour,motor,Species name found in MESH terms
An optogenetic toolbox designed for primates,"Diester et al.,",2011,Nature Neuroscience,specialty,optogenetic,NO,Optogenetic,NO,M1,M1,79,M1,79,7,cortical,Macaca mulatta,rhesus,2,"male, female",20-150 Hz,3,255,mW/mm2,NA,1 ms,NA,1000 ms,no task,no task & resting-state,movement,movement,no,no clear effects on behaviour,motor,
The effects of prolonged cortical stimulation on the natural activity of neurones in the precentral gyrus of conscious monkeys,"Horne & Porter,",1971,Brain Research,specialty,electrical,NO,Microelectrode,NO,M1,M1,79,M1,79,7,cortical,unclear,unclear,unclear,unclear,"50, 100, 200 Hz",0,140,μA,unclear,0.2 ms,unclear,5 min,lever pulling task,"motor, reaching & grasping",hands,hands,no,"no clear effects on behaviour, more about electrophysiology",motor,
Motor cortical control of internal pallidal activity through glutamatergic and GABAergic inputs in awake monkeys,"Tachibana et al.,",2008,European Journal of Neuroscience,specialty,electrical,NO,Macroelectrode,NO,M1,M1,79,M1,79,7,cortical,"Macaca mulatta, Macaca fuscata",rhesus,4,"male, female",single pulses,500,800,μA,unclear,0.3 ms,unclear,single pulses,no task,no task & resting-state,movement,movement,no,"No behaviour. The typical responses of GPi neurons to cortical stimulation consisted of an early
excitation, an inhibition and a late excitation",motor,
Functional organization of information flow in the corticospinal pathway,"Zinger et al.,",2013,Journal of Neuroscience,specialty,electrical,NO,Microelectrode,NO,PMd,PMd,81,PM,80,8,cortical,Macaca fascicularis,non_rhesus,4,female,300 Hz,0,60,μA,unclear,unclear,biphasic,50 ms,flexion extension task,"motor, reaching & grasping",hands,hands,direct,"movement of arms (shoulder, elbow, wrist fingers), higher thresholds > 15 micro-amp",motor,
Functional organization of information flow in the corticospinal pathway,"Zinger et al.,",2013,Journal of Neuroscience,specialty,electrical,NO,Microelectrode,NO,PMv,PMv,84,PM,80,8,cortical,Macaca fascicularis,non_rhesus,4,female,300 Hz,0,60,μA,unclear,unclear,biphasic,50 ms,flexion extension task,"motor, reaching & grasping",hands,hands,direct,"movement of arms (shoulder, elbow, wrist fingers), higher thresholds > 15 micro-amp",motor,
Encoding of reach and grasp by single neurons in premotor cortex is independent of recording site,"Stark et al.,",2007,Journal of Neurophysiology,specialty,electrical,NO,Microelectrode,NO,PM,PM,80,PM,80,8,cortical,Macaca fascicularis,non_rhesus,2,female,330 Hz,50,500,μA,unclear,0.2 ms,biphasic,90 ms,reach and grasp task,"motor, reaching & grasping",hands,hands,direct,spatially distinct stimulation sites from which movements of proximal or distal joints were evoked.,motor,
Combined corticospinal and reticulospinal effects on upper limb muscles,"Ortiz-Rosario et al.,",2014,Neuroscience Letters,specialty,electrical,NO,Macroelectrode,NO,PMA,PM,80,PM,80,8,cortical,Macaca fascicularis,non_rhesus,3,male,333 Hz,unclear,unclear,unclear,unclear,0.4 ms,biphasic,108 ms,reach task with a screen,"motor, reaching & grasping",hands,hands,direct,"muscle movement, twitches. Part of muscle circuits studied",motor,
Ipsilateral head and centring eye movements evoked from monkey premotor cortex,"Boulanger et al.,",2009,NeuroReport,specialty,electrical,NO,Microelectrode,NO,PMv,PMv,84,PM,80,8,cortical,Macaca mulatta,rhesus,1,male,330 Hz,70,80,μA,unclear,0.35 ms,biphasic,100-400 ms,no task,no task & resting-state,"saccades, head",eyes,direct,stimulation induces head and eye movement,motor,
Somatotopy of monkey premotor cortex examined with microstimulation,"Godschalk et al.,",1995,Neuroscience Research,specialty,electrical,NO,Microelectrode,NO,PM,PM,80,PM,80,8,cortical,Macaca nemestrina,non_rhesus,2,"male, female",330 Hz,50,60,μA,cathode first,0.4 ms,biphasic,94 ms,no task,no task & resting-state,movement,movement,direct,"stimulation induces movement in hands, arms, face, eyes",motion,
Sensorimotor integration in the precentral gyrus: polysensory neurons and defensive movements,"Cooke & Graziano,",2004,Journal of Neurophysiology,specialty,electrical,NO,Microelectrode,NO,F4,F4,85,PM,80,8,cortical,Macaca fascicularis,non_rhesus,2,male,200 Hz,20,50,μA,cathode first,0.4 ms,biphasic,"100, 500 ms","no task, air-puffs",no task & resting-state,"saccades, movement",eyes,direct,centering movement of the eyes is evoked by stimulation of sites in the polysensory zone,decision,
CONDITIONED REFLEXES ELICITED BY ELECTRICAL STIMULATION OF THE BRAIN IN MACAQUES,"Doty,",1965,Journal of Neurophysiology,specialty,electrical,NO,Macroelectrode,NO,PMd,PMd,81,PM,80,8,cortical,"Macaca nemestrina, Macaca fascicularis",non_rhesus,3,unclear,50 Hz,0.05,0.7,mA,unclear,0.5 ms,monophasic,seconds,conditioned response associated with stimulation,"conditioning, reward & motivation",hands,hands,direct,"moves body parts based on stimulation site, can be conditioned",motor,
Motor actions are spatially organized in motor and dorsal premotor cortex,"Chehade & Gharbawie,",2023,eLife,broad,electrical,NO,Microelectrode,Optical imaging,PMd,PMd,81,PM,80,8,cortical,Macaca mulatta,rhesus,2,male,300 Hz,0,300,μA,cathodal,0.2 ms,monophasic,60 ms,reach and grasp task,"motor, reaching & grasping",hands,hands,direct,motor maps of different parts of space and different limbs,motor,
Neural Activity during Voluntary Movements in Each Body Representation of the Intracortical Microstimulation-Derived Map in the Macaque Motor Cortex,"Higo et al.,",2016,PLOS ONE,broad,electrical,NO,Microelectrode,NO,PMv,PMv,84,PM,80,8,cortical,Macaca fuscata,non_rhesus,2,"male, female",333 Hz,5,50,μA,cathodal,0.2 ms,monophasic,36 ms,Reach-and-grasp task,"motor, reaching & grasping",hands,hands,direct,"forelimb movement, higher thresholds",motor,
Functional organization of inferior area 6 in the macaque monkey. I. Somatotopy and the control of proximal movements,"Gentilucci et al.,",1988,Experimental Brain Research,specialty,electrical,NO,Microelectrode,NO,F5,F5,86,PM,80,8,cortical,Macaca nemestrina,non_rhesus,3,unclear,250 Hz,3,40,μA,cathodal,0.2 ms,monophasic,50 ms,no task,no task & resting-state,movement,movement,direct,distal movements,motor,
Somatotopic representation in inferior area 6 of the macaque monkey,"Gentilucci et al.,",1989,"Brain, Behavior and Evolution",specialty,electrical,NO,Microelectrode,NO,F5,F5,86,PM,80,8,cortical,Macaca nemestrina,non_rhesus,2,unclear,250 Hz,3,40,μA,cathodal,0.2 ms,monophasic,50 ms,no task,no task & resting-state,movement,movement,direct,distal movements,motor,
Organization of nonprimary motor cortical inputs on pyramidal and nonpyramidal tract neurons of primary motor cortex: An electrophysiological study in the macaque monkey,"Tokuno & Nambu,",2000,Cerebral Cortex,specialty,electrical,NO,Microelectrode,NO,Pmv,PMv,84,PM,80,8,cortical,Macaca fuscata,non_rhesus,2,female,333 Hz,0,50,μA,cathodal,0.2 ms,monophasic,66 ms,no task,no task & resting-state,movement,movement,direct,elbow and digit movement,motor,
Somatotopic organization of the lateral part of area F2 (dorsal premotor cortex) of the macaque monkey,"Raos et al.,",2003,Journal of Neurophysiology,specialty,electrical,NO,Microelectrode,NO,F2,PMd,81,PM,80,8,cortical,Macaca nemestrina,non_rhesus,2,unclear,330 Hz,3,40,μA,cathodal,0.2 ms,monophasic,50 ms,no task,no task & resting-state,movement,movement,direct,evokes forelimb and trunk movements,motor,
Force-related neuronal activity in two regions of the primate ventral premotor cortex,"Hepp-Reymond et al.,",1994,Canadian Journal of Physiology,specialty,electrical,NO,Microelectrode,NO,Pmv,PMv,84,PM,80,8,cortical,Macaca fascicularis,non_rhesus,1,female,300 Hz,0,30,μA,cathodal,0.2 ms,monophasic,60 ms,no task,no task & resting-state,movement,movement,direct,"finger movements, wrists",motor,
Visual responses in the dorsal premotor area F2 of the macaque monkey,"Fogassi et al.,",1999,Experimental Brain Research,specialty,electrical,NO,Microelectrode,NO,F2,PMd,81,PM,80,8,cortical,Macaca nemestrina,non_rhesus,2,unclear,330 Hz,3,40,μA,cathodal,0.2 ms,monophasic,50 ms,no task,no task & resting-state,movement,movement,direct,forelimb and hindlimb movements,motor,
Functional organization of inferior area 6 in the macaque monkey. I. Somatotopy and the control of proximal movements,"Gentilucci et al.,",1988,Experimental Brain Research,specialty,electrical,NO,Microelectrode,NO,F4,F4,85,PM,80,8,cortical,Macaca nemestrina,non_rhesus,3,unclear,250 Hz,3,40,μA,cathodal,0.2 ms,monophasic,50 ms,no task,no task & resting-state,movement,movement,direct,proximal movement,motor,
Somatotopic representation in inferior area 6 of the macaque monkey,"Gentilucci et al.,",1989,"Brain, Behavior and Evolution",specialty,electrical,NO,Microelectrode,NO,F4,F4,85,PM,80,8,cortical,Macaca nemestrina,non_rhesus,2,unclear,250 Hz,3,40,μA,cathodal,0.2 ms,monophasic,50 ms,no task,no task & resting-state,movement,movement,direct,proximal movement,motor,
Organization of nonprimary motor cortical inputs on pyramidal and nonpyramidal tract neurons of primary motor cortex: An electrophysiological study in the macaque monkey,"Tokuno & Nambu,",2000,Cerebral Cortex,specialty,electrical,NO,Microelectrode,NO,Pmd,PMd,81,PM,80,8,cortical,Macaca fuscata,non_rhesus,2,female,333 Hz,0,50,μA,cathodal,0.2 ms,monophasic,66 ms,no task,no task & resting-state,movement,movement,direct,shoulder movement,motor,
The premotor cortex of the monkey,"Weinrich & Wise,",1982,Journal of Neuroscience,specialty,electrical,NO,Microelectrode,NO,PMd,PMd,81,PM,80,8,cortical,Macaca mulatta,rhesus,2,male,333 Hz,5,60,μA,cathodal,0.2 ms,monophasic,33 ms,no task,no task & resting-state,locomotion,movement,direct,"stimulation induces movement in hands, arms, face, eyes",motor,
An oculomotor representation area within the ventral premotor cortex,"Fujii et al.,",1998,PNAS,broad,electrical,NO,Microelectrode,NO,Pmv,PMv,84,PM,80,8,cortical,Macaca fuscata,non_rhesus,2,unclear,333 Hz,20,50,μA,unclear,0.2 ms,unclear,30-150 ms,fixation task,eye movement & visual,"saccades, movement",eyes,direct,"saccade evoking region. small-restricted region not evoking movements in the limbs, neck or body",motor,
Rostrocaudal distinction of the dorsal premotor area based on oculomotor involvement,"Fujii et al.,",2000,Journal of Neurophysiology,specialty,electrical,NO,Microelectrode,NO,Pmd,PMd,81,PM,80,8,cortical,Macaca fuscata,non_rhesus,2,unclear,330 Hz,0,80,μA,unclear,0.2 ms,unclear,30-150 ms,"visually guided saccade task, grasp task",eye movement & visual,"saccades, hands",eyes,direct,saccades were evoked from the rostral part (PMdr) whereas ICMS in the caudal part (PMdc) predominantly produced forelimb or body movements,decision,
Saccades evoked in response to electrical stimulation of the posterior bank of the arcuate sulcus,"Neromyliotis & Moschovakis,",2017,Experimental Brain Research,specialty,electrical,NO,Microelectrode,NO,PMd,PMd,81,PM,80,8,cortical,Macaca mulatta,rhesus,2,female,300 Hz,10,100,μA,unclear,0.25 ms,unclear,150 ms,no task,no task & resting-state,saccades,eyes,direct,"saccade generation, different from FEF however",motor,
Injecting information in the cortical reach-to-grasp network is effective in ventral but not dorsal nodes,"Ruszala & Schieber,",2025,Cell Reports,broad,electrical,NO,Microelectrode,NO,PMv,PMv,84,PM,80,8,cortical,Macaca mulatta,rhesus,2,male,33-80 Hz,10,60,μA,unclear,unclear,biphasic,10-800 ms,center out task,"motor, reaching & grasping",hands,hands,indirect,Able to use ICMS as instructions for the task!,motor,
